producto,categoria,proveedor,precio,costo,stock
Cafe Router,Deportes,Itagui Market,57.85,39.15,110
Cafe Sacapuntas,Deportes,Santander Mayorista,105.8,82.4,406
Cafe Sacapuntas,Deportes,Tunja Trade,105.8,82.4,237
Cafe Sarten,Hogar,Monteria Retail,125.08,90.71,362
Cafe Semilla,Hogar,Candelaria Market,34.24,24.77,238
Cafe Shampoo,Alimentos,Pasto Proveedores,2.38,2.02,492
Cafe Silla,Oficina,Envigado Supply,75.21,54.2,273
cafe switch,Belleza,Oriente Mercantil,8.81,5.47,293
cafe switch,Belleza,Pereira Proveedores,8.81,5.47,226
Cafe Talonario,Electronica,Zipaquira Supply,703.52,465.0,370
Cafe Tambor,Deportes,Leticia Traders,192.26,150.2,14
Cafe Teclado,Jardin,Sabaneta Supply,12.85,10.21,191
Cafe Telefono,Belleza,Popayan Logistics,93.81,57.08,472
Cafe Tenedor,Ropa,Valledupar Traders,122.27,69.14,118
Cafe Termo,Deportes,Sabaneta Supply,159.79,130.19,484
Cafe Tijera,Electronica,Funza Commodities,506.63,340.86,27
Cafe Toalla,Belleza,Sincelejo Market,24.66,12.79,201
Cafe Toalla,Belleza,Tunja Retail,24.66,12.79,38
Cafe Tripode,Electronica,Engativa Traders,725.68,585.47,440
Cafe Tripode,Electronica,Rionegro Supply,725.68,585.47,272
Cafe Webcam,Deportes,Yumbo Logistics,355.49,230.76,230
Cafe Webcam,Deportes,Mosquera Logistics,355.49,230.76,85
Cafe Zapatilla,Juguetes,Oriente Mercantil,71.43,47.14,473
Cafe Zapatilla,Juguetes,Paisa Import,71.43,47.14,125
Cafetal Afeitadora,Juguetes,Cesar Distribuciones,107.06,82.46,299
Cafetal Afeitadora,Juguetes,Popayan Logistics,107.06,82.46,24
Cafetal Agenda,Jardin,Leticia Traders,201.76,147.31,144
Cafetal Archivador,Oficina,Santa Marta Retail,27.42,22.02,12
Cafetal Auriculares,Jardin,Santander Mayorista,29.61,23.8,211
Cafetal Balanza,Ropa,Bello Traders,63.99,42.19,24
Cafetal Balon,Belleza,Leticia Traders,49.65,34.76,67
Cafetal Balon,Belleza,Chapinero Trade,49.65,34.76,393
Cafetal Biberon,Jardin,Kennedy Market,104.37,77.09,66
Cafetal Bicicleta,Juguetes,Distribuciones Andina,102.95,74.04,232
Cafetal Bicicleta,Juguetes,Magdalena Supply,102.95,74.04,108
Cafetal Boligrafo,Juguetes,Envigado Supply,44.4,30.98,145
cafetal botella,Alimentos,Envigado Supply,6.46,5.53,110
Cafetal Botella,Alimentos,Sucre Supply,6.46,5.53,227
cafetal cable,Juguetes,Neiva Express,159.92,112.99,110
Cafetal Cafetera,Electronica,Jamundi Market,837.02,599.3,469
Cafetal Camisa,Hogar,Cesar Distribuciones,111.48,85.31,33
Cafetal Cargador,Hogar,Huila Distribuciones,41.41,32.65,110
Cafetal Cargador,Hogar,Fusagasuga Supply,41.41,32.65,263
Cafetal Carpa,Hogar,Sabaneta Supply,213.89,150.87,423
Cafetal Carpa,Hogar,Popayan Logistics,213.89,150.87,368
Cafetal Carpeta,Ropa,Palmira Traders,18.57,9.85,235
Cafetal Cepillo,Jardin,Cajica Traders,53.57,34.84,82
Cafetal Cepillo,Jardin,Rionegro Supply,53.57,34.84,41
Cafetal Cereal,Alimentos,Insumos Cafeteros,5.37,3.95,424
Cafetal Chaqueta,Juguetes,Guajira Logistics,58.18,37.03,100
Cafetal Chocolate,Belleza,Villavicencio Hub,90.41,46.11,5
Cafetal Cinta,Alimentos,Choco Importaciones,12.57,9.55,179
Cafetal Colchoneta,Alimentos,Bucaramanga Trade,31.56,24.7,281
Cafetal Copa,Ropa,Kennedy Market,85.44,62.6,319
Cafetal Crema,Belleza,Valledupar Traders,48.24,30.89,225
Cafetal Crema,Belleza,Chapinero Trade,48.24,30.89,442
Cafetal Cuaderno,Ropa,Funza Commodities,12.6,7.23,439
Cafetal Cuchillo,Hogar,Envigado Supply,121.19,104.65,314
Cafetal Drone,Ropa,Palmira Traders,57.54,33.7,364
Cafetal Estante,Ropa,Valledupar Traders,46.38,27.71,453
Cafetal Estante,Ropa,Ibague Market,46.38,27.71,228
Cafetal Extensor,Hogar,La Estrella Supply,177.1,135.61,376
Cafetal Extensor,Hogar,Altiplano Supply,177.1,135.61,288
Cafetal Galleta,Juguetes,Bucaramanga Trade,128.94,96.16,436
Cafetal Galleta,Juguetes,Dosquebradas Traders,128.94,96.16,149
Cafetal Gorra,Juguetes,La Estrella Supply,83.95,61.38,276
Cafetal Gorra,Juguetes,Mayoristas del Valle,83.95,61.38,197
Cafetal Guante,Jardin,Magdalena Supply,173.59,122.57,69
Cafetal Guitarra,Electronica,Cucuta Comercios,695.96,573.92,111
Cafetal Jabon,Alimentos,Guajira Logistics,26.1,22.12,3
cafetal lampara,Juguetes,Popayan Logistics,58.43,41.17,349
Cafetal Licuadora,Juguetes,La Estrella Supply,12.15,9.14,330
Cafetal Licuadora,Juguetes,Tolima Proveedores,12.15,9.14,445
cafetal linterna,Belleza,Sabaneta Supply,80.94,53.43,317
Cafetal Linterna,Belleza,Bucaramanga Trade,80.94,53.43,349
cafetal maceta,Alimentos,Candelaria Market,5.62,4.23,94
Cafetal Maceta,Alimentos,Oriente Mercantil,5.62,4.23,151
Cafetal Marcador,Juguetes,Guajira Logistics,139.85,92.86,310
Cafetal Marcador,Juguetes,Dosquebradas Traders,139.85,92.86,136
Cafetal Mesa,Juguetes,Envigado Supply,126.09,80.91,246
Cafetal Microfono,Juguetes,Chapinero Trade,97.63,59.73,386
Cafetal Mochila,Oficina,Meta Comerciales,9.01,6.9,242
Cafetal Monitor,Alimentos,Kennedy Market,19.58,15.81,30
Cafetal Mouse,Belleza,Eje Cafetero SAS,30.2,21.27,39
Cafetal Mousepad,Electronica,Chia Market,162.27,120.51,228
Cafetal Muñeco,Electronica,Tolima Proveedores,682.78,470.86,35
Cafetal Olla,Alimentos,Ibague Market,4.13,3.34,407
Cafetal Pantalon,Jardin,Riohacha Trade,79.86,65.32,222
Cafetal Papel,Deportes,Ipiales Trade,99.11,67.92,5
Cafetal Parlante,Hogar,Tunja Trade,214.01,182.97,321
Cafetal Patin,Belleza,Mayoristas del Valle,14.46,9.52,467
Cafetal Pegante,Oficina,Mayoristas del Valle,42.5,30.7,219
Cafetal Pelota,Alimentos,Mosquera Logistics,20.12,14.63,74
Cafetal Perfume,Belleza,Mayoristas del Valle,7.19,4.16,3
Cafetal Plancha,Electronica,Chapinero Trade,800.08,592.17,334
Cafetal Plancha,Electronica,Eje Cafetero SAS,800.08,592.17,133
Cafetal Plato,Alimentos,Tunja Retail,10.26,8.74,117
Cafetal PowerBank,Juguetes,Santander Mayorista,25.65,16.51,368
Cafetal ProtectorSolar,Jardin,Funza Commodities,118.2,77.53,93
Cafetal ProtectorSolar,Jardin,Usaquen Market,118.2,77.53,485
Cafetal Raqueta,Jardin,Paisa Import,39.58,29.99,434
Cafetal Raqueta,Jardin,Yumbo Logistics,39.58,29.99,61
Cafetal Regla,Alimentos,Valledupar Traders,7.64,5.84,440
Cafetal Regla,Alimentos,Yopal Supply,7.64,5.84,193
cafetal resaltador,Hogar,Putumayo Goods,222.39,169.67,334
Cafetal Resaltador,Hogar,Eje Cafetero SAS,222.39,169.67,202
Cafetal Rompecabezas,Belleza,Putumayo Goods,29.12,18.11,391
Cafetal Rompecabezas,Belleza,Eje Cafetero SAS,29.12,18.11,25
Cafetal Router,Alimentos,Girardot Trade,26.53,20.31,434
Cafetal Sacapuntas,Hogar,Armenia Supply,193.7,146.36,172
Cafetal Sarten,Jardin,Guajira Logistics,64.71,45.36,299
Cafetal Semilla,Oficina,Mayoristas del Valle,56.26,43.82,132
Cafetal Semilla,Oficina,Ibague Market,56.26,43.82,325
Cafetal Shampoo,Hogar,Pasto Proveedores,165.97,133.79,409
Cafetal Silla,Belleza,Eje Cafetero SAS,49.21,27.68,117
Cafetal Switch,Deportes,Eje Cafetero SAS,140.79,108.26,323
Cafetal Switch,Deportes,Itagui Market,140.79,108.26,274
Cafetal Talonario,Oficina,Cali Express,63.05,41.88,211
Cafetal Tambor,Ropa,Sincelejo Market,119.16,71.07,224
Cafetal Tambor,Ropa,Eje Cafetero SAS,119.16,71.07,19
Cafetal Teclado,Oficina,Santa Marta Retail,111.48,77.92,112
Cafetal Telefono,Deportes,Madrid Supply,256.84,167.92,139
Cafetal Tenedor,Juguetes,Distribuciones Andina,55.04,35.81,46
Cafetal Termo,Alimentos,Zipaquira Supply,31.2,23.43,0
Cafetal Termo,Alimentos,Insumos Cafeteros,31.2,23.43,89
Cafetal Tijera,Electronica,Eje Cafetero SAS,453.84,337.25,141
cafetal tijera,Electronica,Bello Traders,453.84,337.25,319
Cafetal Toalla,Ropa,Tunja Trade,40.25,23.03,37
Cafetal Tripode,Belleza,Usaquen Market,86.23,51.11,292
Cafetal Tripode,Belleza,Magdalena Supply,86.23,51.11,381
Cafetal Webcam,Hogar,Guajira Logistics,183.12,130.45,138
Cafetal Zapatilla,Belleza,Casanare Retail,92.52,49.95,355
Cielo Afeitadora,Belleza,Ipiales Trade,65.98,42.15,332
Cielo Agenda,Deportes,Logistica Pacifico,45.3,35.48,490
Cielo Archivador,Deportes,Yopal Supply,266.01,200.88,258
Cielo Archivador,Deportes,Oriente Mercantil,266.01,200.88,160
Cielo Auriculares,Juguetes,Riohacha Trade,100.34,69.38,389
Cielo Auriculares,Juguetes,Monteria Retail,100.34,69.38,177
Cielo Balanza,Electronica,Quibdo Market,210.88,161.09,9
Cielo Balon,Electronica,Chia Market,292.29,192.12,260
Cielo Biberon,Oficina,Itagui Market,26.95,17.49,406
Cielo Biberon,Oficina,Amazonas Traders,26.95,17.49,137
Cielo Bicicleta,Juguetes,Amazonas Traders,121.06,94.96,171
Cielo Bicicleta,Juguetes,Sincelejo Market,121.06,94.96,385
Cielo Boligrafo,Hogar,Logistica Pacifico,86.31,69.64,12
Cielo Boligrafo,Hogar,Altiplano Supply,86.31,69.64,167
Cielo Botella,Hogar,Popayan Logistics,230.39,181.11,129
Cielo Botella,Hogar,Kennedy Market,230.39,181.11,83
Cielo Cable,Jardin,Pasto Proveedores,159.66,102.72,320
Cielo Cafetera,Alimentos,Eje Cafetero SAS,31.47,23.64,318
Cielo Camisa,Ropa,Cota Proveedores,37.29,22.7,100
Cielo Camisa,Ropa,Medellin Market,37.29,22.7,328
Cielo Cargador,Oficina,Candelaria Market,118.48,84.1,272
Cielo Carpa,Oficina,Quibdo Market,37.54,24.16,264
Cielo Carpa,Oficina,Tunja Trade,37.54,24.16,458
Cielo Carpeta,Deportes,Usaquen Market,231.16,153.16,398
Cielo Carpeta,Deportes,Cota Proveedores,231.16,153.16,407
Cielo Cepillo,Jardin,Fusagasuga Supply,76.59,53.42,37
Cielo Cereal,Alimentos,Atlantico Pro,27.17,20.34,418
Cielo Chaqueta,Alimentos,Palmira Traders,7.33,6.23,93
Cielo Chocolate,Deportes,Valledupar Traders,333.93,242.72,94
Cielo Cinta,Belleza,Insumos Cafeteros,75.11,52.19,304
Cielo Colchoneta,Oficina,Candelaria Market,55.23,34.97,68
cielo copa,Jardin,Altiplano Supply,117.58,84.59,317
Cielo Crema,Deportes,Tunja Retail,374.16,241.12,443
Cielo Cuaderno,Ropa,Chapinero Trade,55.72,32.22,235
Cielo Cuchillo,Belleza,Engativa Traders,8.72,4.2,433
Cielo Cuchillo,Belleza,Soledad Retail,8.72,4.2,333
Cielo Drone,Electronica,Soacha Distribuciones,751.21,512.81,372
Cielo Estante,Electronica,Madrid Supply,651.49,429.88,375
Cielo Estante,Electronica,Duitama Market,651.49,429.88,458
Cielo Extensor,Deportes,Mayoristas del Valle,93.72,69.22,136
Cielo Galleta,Jardin,Funza Commodities,200.55,136.05,417
Cielo Gorra,Oficina,Suba Supply,120.81,78.29,75
Cielo Guante,Alimentos,Logistica Pacifico,1.65,1.19,482
Cielo Guitarra,Belleza,Candelaria Market,41.42,20.15,34
Cielo Jabon,Deportes,Ibague Market,123.47,79.98,0
Cielo Lampara,Ropa,Cesar Distribuciones,123.71,73.69,295
Cielo Licuadora,Alimentos,Sucre Supply,24.3,19.94,319
Cielo Licuadora,Alimentos,Yopal Supply,24.3,19.94,405
Cielo Linterna,Hogar,Engativa Traders,238.32,166.41,59
Cielo Maceta,Juguetes,Usaquen Market,149.61,89.75,319
Cielo Marcador,Jardin,Mosquera Logistics,169.49,109.3,348
Cielo Mesa,Hogar,Putumayo Goods,226.55,166.64,327
Cielo Microfono,Oficina,Bello Traders,10.73,7.84,266
Cielo Mochila,Oficina,Riohacha Trade,92.45,66.93,360
Cielo Mochila,Oficina,Paisa Import,92.45,66.93,228
Cielo Monitor,Electronica,Arauca Connect,683.25,469.09,269
Cielo Monitor,Electronica,Cajica Traders,683.25,469.09,315
Cielo Mouse,Ropa,Distribuciones Andina,92.74,52.26,285
Cielo Mousepad,Ropa,Usaquen Market,7.43,5.23,290
Cielo Muñeco,Belleza,Logistica Pacifico,30.43,20.88,212
Cielo Olla,Ropa,Amazonas Traders,40.99,23.72,164
Cielo Pantalon,Ropa,Insumos Cafeteros,117.27,68.52,4
Cielo Papel,Jardin,Suba Supply,110.02,71.01,338
Cielo Papel,Jardin,Chia Market,110.02,71.01,378
Cielo Parlante,Ropa,Logistica Pacifico,42.04,24.55,77
Cielo Parlante,Ropa,Ibague Market,42.04,24.55,409
Cielo Patin,Jardin,Sucre Supply,154.98,121.13,61
Cielo Patin,Jardin,Yumbo Logistics,154.98,121.13,131
Cielo Pegante,Alimentos,La Estrella Supply,12.26,9.82,88
Cielo Pelota,Alimentos,Logistica Pacifico,32.45,23.67,236
Cielo Pelota,Alimentos,Paisa Import,32.45,23.67,41
Cielo Perfume,Deportes,Paisa Import,15.74,13.02,88
Cielo Plancha,Oficina,Riohacha Trade,85.52,58.95,401
Cielo Plato,Hogar,Atlantico Pro,235.95,195.08,295
cielo powerbank,Ropa,Altiplano Supply,14.59,8.73,327
Cielo PowerBank,Ropa,Nariño Trade,14.59,8.73,294
Cielo ProtectorSolar,Belleza,Ipiales Trade,23.83,11.51,103
Cielo Raqueta,Ropa,Atlantico Pro,104.21,76.04,13
Cielo Raqueta,Ropa,Girardot Trade,104.21,76.04,287
Cielo Regla,Oficina,Itagui Market,63.17,40.29,178
Cielo Resaltador,Juguetes,Leticia Traders,147.43,100.13,124
Cielo Rompecabezas,Deportes,Logistica Pacifico,230.59,180.68,421
Cielo Rompecabezas,Deportes,Yopal Supply,230.59,180.68,352
Cielo Router,Belleza,Cucuta Comercios,33.89,19.41,22
Cielo Router,Belleza,Valledupar Traders,33.89,19.41,62
Cielo Sacapuntas,Ropa,Zipaquira Supply,53.19,37.35,142
Cielo Sarten,Deportes,Pasto Proveedores,326.77,248.84,480
Cielo Sarten,Deportes,Cesar Distribuciones,326.77,248.84,152
Cielo Semilla,Deportes,Usaquen Market,148.94,109.24,144
Cielo Shampoo,Ropa,Monteria Retail,13.5,7.16,224
Cielo Silla,Deportes,Putumayo Goods,246.13,157.48,494
Cielo Silla,Deportes,Atlantico Pro,246.13,157.48,449
Cielo Switch,Jardin,Valledupar Traders,131.21,89.94,461
Cielo Switch,Jardin,Palmira Traders,131.21,89.94,308
Cielo Talonario,Hogar,Sabaneta Supply,14.23,11.96,103
Cielo Talonario,Hogar,Amazonas Traders,14.23,11.96,103
Cielo Tambor,Jardin,Zipaquira Supply,198.84,146.31,434
Cielo Teclado,Deportes,Eje Cafetero SAS,267.94,180.63,38
Cielo Telefono,Belleza,Sabaneta Supply,12.82,7.16,434
Cielo Tenedor,Electronica,Suba Supply,301.58,233.07,197
Cielo Tenedor,Electronica,Tolima Proveedores,301.58,233.07,133
Cielo Termo,Jardin,Leticia Traders,235.62,149.53,66
Cielo Tijera,Electronica,Engativa Traders,74.23,52.95,390
Cielo Toalla,Alimentos,Tunja Trade,10.31,8.26,178
Cielo Tripode,Jardin,Meta Comerciales,38.98,25.04,455
Cielo Webcam,Electronica,Bogota Central,481.57,369.27,41
Cielo Zapatilla,Oficina,Ipiales Trade,60.6,45.37,447
cielo zapatilla,Oficina,Chapinero Trade,60.6,45.37,499
Cool Afeitadora,Juguetes,Casanare Retail,28.09,20.17,14
Cool Agenda,Oficina,Tolima Proveedores,52.3,40.1,110
Cool Agenda,Oficina,Villavicencio Hub,52.3,40.1,156
Cool Archivador,Jardin,Cajica Traders,15.46,12.36,288
cool auriculares,Belleza,Manizales Market,93.47,45.63,499
Cool Balanza,Belleza,Barranquilla Hub,86.28,54.46,477
Cool Balon,Belleza,Ibague Market,55.36,32.47,230
Cool Biberon,Ropa,Popayan Logistics,54.38,28.67,410
Cool Biberon,Ropa,La Estrella Supply,54.38,28.67,419
Cool Bicicleta,Ropa,La Estrella Supply,86.53,46.68,156
Cool Boligrafo,Juguetes,Insumos Cafeteros,14.64,11.12,37
cool botella,Deportes,Kennedy Market,72.63,52.32,440
Cool Cable,Ropa,Cali Express,90.51,57.95,96
cool cafetera,Juguetes,Quibdo Market,13.67,9.69,484
Cool Camisa,Oficina,Popayan Logistics,62.45,44.7,410
Cool Cargador,Ropa,Casanare Retail,19.35,14.27,438
Cool Carpa,Belleza,Bogota Central,20.19,13.3,288
Cool Carpeta,Oficina,Choco Importaciones,106.03,74.39,253
Cool Cepillo,Deportes,Cucuta Comercios,237.06,149.22,195
Cool Cereal,Oficina,Sucre Supply,88.39,69.48,85
Cool Chaqueta,Hogar,Quibdo Market,73.77,56.77,321
Cool Chocolate,Hogar,Yumbo Logistics,206.78,178.6,9
Cool Chocolate,Hogar,Palmira Traders,206.78,178.6,4
cool cinta,Hogar,Soacha Distribuciones,112.66,84.89,122
Cool Colchoneta,Hogar,Pasto Proveedores,202.18,169.03,329
Cool Copa,Hogar,Yopal Supply,132.74,97.44,352
Cool Copa,Hogar,Cajica Traders,132.74,97.44,117
Cool Crema,Juguetes,Villavicencio Hub,96.12,57.22,293
Cool Cuaderno,Electronica,Choco Importaciones,281.47,231.18,396
Cool Cuchillo,Juguetes,Tolima Proveedores,66.91,42.37,158
cool cuchillo,Juguetes,Nariño Trade,66.91,42.37,302
Cool Drone,Ropa,Amazonas Traders,27.71,20.85,227
Cool Drone,Ropa,Pereira Proveedores,27.71,20.85,364
Cool Estante,Belleza,Paisa Import,30.82,21.42,215
Cool Estante,Belleza,Riohacha Trade,30.82,21.42,435
Cool Extensor,Hogar,Paisa Import,151.65,113.96,183
Cool Galleta,Hogar,Kennedy Market,103.23,85.78,14
Cool Galleta,Hogar,Choco Importaciones,103.23,85.78,156
Cool Gorra,Alimentos,Pasto Proveedores,4.28,3.14,135
Cool Guante,Ropa,Madrid Supply,52.62,34.14,260
Cool Guante,Ropa,Soacha Distribuciones,52.62,34.14,156
Cool Guitarra,Ropa,Yopal Supply,22.4,14.05,46
Cool Jabon,Alimentos,Girardot Trade,25.76,18.66,323
Cool Lampara,Ropa,Choco Importaciones,43.35,31.93,331
Cool Lampara,Ropa,Cota Proveedores,43.35,31.93,172
Cool Licuadora,Jardin,Sucre Supply,111.42,79.82,129
cool licuadora,Jardin,Paisa Import,111.42,79.82,410
Cool Linterna,Alimentos,Tunja Retail,16.04,12.43,94
Cool Linterna,Alimentos,Cali Express,16.04,12.43,114
cool maceta,Alimentos,Arauca Connect,3.98,3.17,242
Cool Marcador,Jardin,Soledad Retail,129.67,94.4,419
Cool Mesa,Alimentos,Distribuciones Andina,4.13,3.23,291
Cool Mesa,Alimentos,Barranquilla Hub,4.13,3.23,281
Cool Microfono,Juguetes,Distribuciones Andina,127.61,82.79,298
Cool Mochila,Ropa,Huila Distribuciones,120.9,74.8,282
Cool Mochila,Ropa,Suba Supply,120.9,74.8,68
Cool Monitor,Oficina,Cesar Distribuciones,13.03,9.39,147
Cool Mouse,Hogar,Barranquilla Hub,235.86,182.37,10
Cool Mouse,Hogar,Cali Express,235.86,182.37,253
Cool Mousepad,Ropa,Magdalena Supply,134.81,78.81,329
cool muñeco,Belleza,Amazonas Traders,90.02,50.97,359
Cool Muñeco,Belleza,Arauca Connect,90.02,50.97,37
Cool Olla,Belleza,Neiva Express,63.23,35.41,133
Cool Olla,Belleza,Barranquilla Hub,63.23,35.41,199
Cool Pantalon,Electronica,Magdalena Supply,466.75,332.38,22
Cool Papel,Alimentos,Yopal Supply,4.3,3.27,302
Cool Papel,Alimentos,Paisa Import,4.3,3.27,345
Cool Parlante,Belleza,Choco Importaciones,42.1,23.26,301
Cool Parlante,Belleza,Leticia Traders,42.1,23.26,362
Cool Patin,Oficina,Distribuciones Andina,5.13,3.43,395
cool patin,Oficina,Cesar Distribuciones,5.13,3.43,217
Cool Pegante,Juguetes,Fusagasuga Supply,34.17,25.65,140
Cool Pelota,Alimentos,Barranquilla Hub,2.62,2.09,103
Cool Pelota,Alimentos,Logistica Pacifico,2.62,2.09,445
cool perfume,Belleza,Suba Supply,39.83,20.89,209
Cool Plancha,Juguetes,Quibdo Market,105.08,76.74,472
Cool Plancha,Juguetes,Bello Traders,105.08,76.74,480
Cool Plato,Ropa,Palmira Traders,28.06,20.83,110
Cool PowerBank,Belleza,Funza Commodities,77.67,52.68,103
Cool ProtectorSolar,Oficina,Leticia Traders,4.86,3.58,315
Cool Raqueta,Electronica,Armenia Supply,200.91,144.45,170
Cool Regla,Alimentos,Mayoristas del Valle,30.4,21.85,459
Cool Regla,Alimentos,Eje Cafetero SAS,30.4,21.85,491
Cool Resaltador,Juguetes,Sucre Supply,64.35,39.82,355
Cool Rompecabezas,Jardin,Dosquebradas Traders,167.18,105.46,495
Cool Router,Alimentos,Villavicencio Hub,23.8,20.31,323
Cool Router,Alimentos,Nariño Trade,23.8,20.31,132
Cool Sacapuntas,Ropa,Distribuciones Andina,8.26,6.04,375
Cool Sacapuntas,Ropa,Medellin Market,8.26,6.04,292
Cool Sarten,Electronica,Kennedy Market,551.97,432.82,327
Cool Sarten,Electronica,Putumayo Goods,551.97,432.82,126
cool semilla,Electronica,Yumbo Logistics,240.93,165.08,105
Cool Shampoo,Deportes,Magdalena Supply,164.57,113.46,496
Cool Shampoo,Deportes,Cucuta Comercios,164.57,113.46,91
Cool Silla,Oficina,La Estrella Supply,24.82,18.8,286
Cool Silla,Oficina,Tunja Trade,24.82,18.8,377
Cool Switch,Juguetes,Villavicencio Hub,31.73,22.04,392
Cool Talonario,Hogar,Pereira Proveedores,49.69,41.56,50
Cool Tambor,Juguetes,Arauca Connect,169.38,115.84,28
Cool Teclado,Juguetes,Quibdo Market,96.93,72.3,461
Cool Telefono,Alimentos,Bogota Central,2.56,2.22,295
Cool Telefono,Alimentos,Manizales Market,2.56,2.22,296
Cool Tenedor,Alimentos,Distribuciones Andina,33.39,24.51,213
Cool Termo,Oficina,Yumbo Logistics,109.22,89.91,266
Cool Tijera,Alimentos,Palmira Traders,16.44,12.67,406
cool toalla,Juguetes,Logistica Pacifico,40.45,31.67,256
Cool Tripode,Electronica,Atlantico Pro,374.16,282.1,301
Cool Webcam,Hogar,Cartagena Hub,81.87,60.89,100
Cool Zapatilla,Juguetes,Pereira Proveedores,28.23,18.45,404
Cordillera Afeitadora,Jardin,Santander Mayorista,96.98,70.56,345
Cordillera Agenda,Ropa,Choco Importaciones,37.65,26.6,109
Cordillera Archivador,Jardin,Putumayo Goods,96.94,69.09,419
Cordillera Auriculares,Jardin,Amazonas Traders,213.84,138.73,181
Cordillera Balanza,Juguetes,Mayoristas del Valle,27.75,20.08,470
cordillera balon,Alimentos,Tolima Proveedores,32.65,24.04,312
Cordillera Balon,Alimentos,Choco Importaciones,32.65,24.04,0
Cordillera Biberon,Jardin,Distribuciones Andina,183.33,120.62,318
Cordillera Bicicleta,Ropa,Neiva Express,75.88,51.64,437
Cordillera Boligrafo,Hogar,Engativa Traders,162.55,136.74,54
Cordillera Boligrafo,Hogar,Barranquilla Hub,162.55,136.74,370
Cordillera Botella,Deportes,Pereira Proveedores,64.02,45.83,423
Cordillera Cable,Alimentos,Suba Supply,30.09,23.63,398
Cordillera Cafetera,Deportes,Engativa Traders,71.52,58.68,148
Cordillera Cafetera,Deportes,Nariño Trade,71.52,58.68,430
Cordillera Camisa,Electronica,Guajira Logistics,322.6,247.33,456
cordillera cargador,Ropa,Soacha Distribuciones,32.86,18.1,308
Cordillera Carpa,Oficina,Duitama Market,5.89,4.81,136
Cordillera Carpeta,Alimentos,Altiplano Supply,4.51,3.74,201
Cordillera Carpeta,Alimentos,Yopal Supply,4.51,3.74,435
Cordillera Cepillo,Oficina,Madrid Supply,28.3,21.72,312
Cordillera Cereal,Jardin,Candelaria Market,179.45,119.02,116
Cordillera Chaqueta,Oficina,Usaquen Market,32.19,25.54,153
Cordillera Chaqueta,Oficina,Santander Mayorista,32.19,25.54,424
cordillera chocolate,Oficina,Atlantico Pro,68.51,55.18,290
Cordillera Chocolate,Oficina,Jamundi Market,68.51,55.18,62
Cordillera Cinta,Electronica,Cucuta Comercios,769.59,559.65,243
Cordillera Colchoneta,Juguetes,Chapinero Trade,183.97,115.7,24
Cordillera Copa,Hogar,Riohacha Trade,211.28,158.51,89
Cordillera Crema,Hogar,Cartagena Hub,193.56,166.49,74
Cordillera Cuaderno,Hogar,Cesar Distribuciones,49.48,41.74,293
cordillera cuaderno,Hogar,Casanare Retail,49.48,41.74,385
cordillera cuchillo,Deportes,Pasto Proveedores,288.5,228.46,390
Cordillera Cuchillo,Deportes,Amazonas Traders,288.5,228.46,209
Cordillera Drone,Belleza,Pasto Proveedores,83.85,43.37,474
Cordillera Drone,Belleza,Santa Marta Retail,83.85,43.37,417
Cordillera Estante,Juguetes,Medellin Market,115.54,89.24,346
Cordillera Extensor,Jardin,Soledad Retail,68.0,54.18,16
Cordillera Galleta,Deportes,Kennedy Market,156.11,114.26,127
Cordillera Gorra,Electronica,Engativa Traders,281.75,184.92,426
Cordillera Guante,Jardin,Cali Express,59.99,47.29,442
Cordillera Guitarra,Belleza,Tunja Retail,46.72,24.23,363
Cordillera Guitarra,Belleza,Sincelejo Market,46.72,24.23,250
cordillera jabon,Jardin,Sabaneta Supply,125.46,96.64,178
Cordillera Jabon,Jardin,Bogota Central,125.46,96.64,181
Cordillera Lampara,Oficina,Engativa Traders,50.5,39.11,151
Cordillera Licuadora,Alimentos,Sucre Supply,13.68,10.92,24
Cordillera Licuadora,Alimentos,Distribuciones Andina,13.68,10.92,454
Cordillera Linterna,Juguetes,Envigado Supply,169.66,114.46,179
Cordillera Maceta,Jardin,Cartagena Hub,195.4,141.9,197
Cordillera Marcador,Electronica,Tunja Trade,625.65,444.69,500
Cordillera Mesa,Hogar,Cajica Traders,32.49,26.11,343
Cordillera Microfono,Ropa,Mayoristas del Valle,57.69,37.56,160
Cordillera Mochila,Electronica,Jamundi Market,601.72,413.1,176
Cordillera Mochila,Electronica,Candelaria Market,601.72,413.1,284
Cordillera Monitor,Electronica,Armenia Supply,935.71,587.75,62
Cordillera Monitor,Electronica,Paisa Import,935.71,587.75,490
Cordillera Mouse,Oficina,Mayoristas del Valle,119.8,87.59,149
Cordillera Mousepad,Oficina,Dosquebradas Traders,117.41,78.87,153
Cordillera Mousepad,Oficina,Leticia Traders,117.41,78.87,155
Cordillera Muñeco,Jardin,Bello Traders,164.75,136.93,369
cordillera muñeco,Jardin,Amazonas Traders,164.75,136.93,468
cordillera olla,Belleza,Soacha Distribuciones,99.24,54.31,48
Cordillera Olla,Belleza,Barranquilla Hub,99.24,54.31,454
Cordillera Pantalon,Ropa,Cali Express,90.17,57.52,336
Cordillera Pantalon,Ropa,Guajira Logistics,90.17,57.52,83
Cordillera Papel,Deportes,Santander Mayorista,322.99,222.79,360
Cordillera Parlante,Juguetes,Cali Express,140.55,85.21,176
Cordillera Parlante,Juguetes,Zipaquira Supply,140.55,85.21,147
